"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Bahrain","BHR",2017,0.193144910970305,0.193144910970305,0.193144910970305,0.193144910970305,0,0,0,"6","HIC","Bahrain",0,0,Inf,2036,2030,2039,2031,0,0,0,0
"Bahrain","BHR",2018,0.198554393807964,0.198554393807964,0.198554393807964,0.198554393807964,0,0,0,"6","HIC","Bahrain",0,0,Inf,2036,2030,2039,2031,0,0,0,0
"Bahrain","BHR",2019,0.204462329196976,0.204462329196976,0.204462329196976,0.204462329196976,0,0,0,"6","HIC","Bahrain",0,0,Inf,2036,2030,2039,2031,0,0,0,0
"Bangladesh","BGD",2017,0.141888902640257,0.141888902640257,0.141888902640257,0.141888902640257,0,0,0,"9","LMIC","Bangladesh",0,0,Inf,2039,2032,2041,2033,0,0,0,0
"Bangladesh","BGD",2018,0.143586873231121,0.143586873231121,0.143586873231121,0.143586873231121,0,0,0,"9","LMIC","Bangladesh",0,0,Inf,2039,2032,2041,2033,0,0,0,0
"Bangladesh","BGD",2019,0.145550134790988,0.145550134790988,0.145550134790988,0.145550134790988,0,0,0,"9","LMIC","Bangladesh",0,0,Inf,2039,2032,2041,2033,0,0,0,0
"Barbados","BRB",2017,0.325080128631436,0.325080128631436,0.325080128631436,0.325080128631436,0,0,0,"3","HIC","Barbados",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Barbados","BRB",2018,0.328952165224094,0.328952165224094,0.328952165224094,0.328952165224094,0,0,0,"3","HIC","Barbados",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Barbados","BRB",2019,0.333049479029454,0.333049479029454,0.333049479029454,0.333049479029454,0,0,0,"3","HIC","Barbados",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Belarus","BLR",2017,0.0967687076441536,0.0967687076441536,0.0967687076441536,0.0967687076441536,0,0,0,"9","UMIC","Belarus",0,0,Inf,2039,2034,2044,2035,0,0,0,0
"Belarus","BLR",2018,0.0988729840452037,0.0988729840452037,0.0988729840452037,0.0988729840452037,0,0,0,"9","UMIC","Belarus",0,0,Inf,2039,2034,2044,2035,0,0,0,0
"Belarus","BLR",2019,0.101388819334147,0.101388819334147,0.101388819334147,0.101388819334147,0,0,0,"9","UMIC","Belarus",0,0,Inf,2039,2034,2044,2035,0,0,0,0
"Belgium","BEL",2017,0.381104926011652,0.381104926011652,0.381104926011652,0.381104926011652,0,0,0,"2","HIC","Belgium",0,0,Inf,2030,2025,2033,2026,0,0,0,0
"Belgium","BEL",2018,0.383052767798498,0.383052767798498,0.383052767798498,0.383052767798498,0,0,0,"2","HIC","Belgium",0,0,Inf,2030,2025,2033,2026,0,0,0,0
"Belgium","BEL",2019,0.385172026142704,0.385172026142704,0.385172026142704,0.385172026142704,0,0,0,"2","HIC","Belgium",0,0,Inf,2030,2025,2033,2026,0,0,0,0
"Belize","BLZ",2017,0.206003180399813,0.206003180399813,0.206003180399813,0.206003180399813,0,0,0,"6","LMIC","Belize",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"Belize","BLZ",2018,0.209389693884561,0.209389693884561,0.209389693884561,0.209389693884561,0,0,0,"6","LMIC","Belize",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"Belize","BLZ",2019,0.213150337007614,0.213150337007614,0.213150337007614,0.213150337007614,0,0,0,"6","LMIC","Belize",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"Benin","BEN",2017,0.081241058903143,0.081241058903143,0.081241058903143,0.081241058903143,0,0,0,"9","LMIC","Benin",0,0,Inf,2042,2035,2044,2036,0,0,0,0
"Benin","BEN",2018,0.0861820871565516,0.0861820871565516,0.0861820871565516,0.0861820871565516,0,0,0,"9","LMIC","Benin",0,0,Inf,2042,2035,2044,2036,0,0,0,0
"Benin","BEN",2019,0.0915692512792973,0.0915692512792973,0.0915692512792973,0.0915692512792973,0,0,0,"9","LMIC","Benin",0,0,Inf,2042,2035,2044,2036,0,0,0,0
"Bhutan","BTN",2017,0.0832888034401345,0.0832888034401345,0.0832888034401345,0.0832888034401345,0,0,0,"9","LMIC","Bhutan",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Bhutan","BTN",2018,0.0856359545032787,0.0856359545032787,0.0856359545032787,0.0856359545032787,0,0,0,"9","LMIC","Bhutan",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Bhutan","BTN",2019,0.0882903663856259,0.0882903663856259,0.0882903663856259,0.0882903663856259,0,0,0,"9","LMIC","Bhutan",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Bolivia","BOL",2017,0.256379590009516,0.256379590009516,0.256379590009516,0.256379590009516,0,0,0,"4","LMIC","Bolivia",0,0,Inf,2035,2028,2037,2029,0,0,0,0
"Bolivia","BOL",2018,0.260583187633728,0.260583187633728,0.260583187633728,0.260583187633728,0,0,0,"4","LMIC","Bolivia",0,0,Inf,2035,2028,2037,2029,0,0,0,0
